# The element -> attribute-name dataset vilan-ide's element-head completion
# is generated from (tracker E69). GENERATED FILE -- do not hand-edit.
#
# refresh:   python3 scripts/regen-html-attributes.py --fetch   (network)
# consumer:  crates/vilan-ide/src/html_attributes_sync.rs   (TSV -> Rust)
#            the ONE implementation of that arrow (N107). It renders
#            html_attributes.rs from these rows and diffs it byte for byte on
#            every `cargo test`, offline; VILAN_REGENERATE_HTML_ATTRIBUTES=1
#            rewrites the table instead of failing.
#
# `element` is a tag name, `*` (every element) or `svg:*` (every SVG-shaped
# element). A row with an EMPTY attribute registers the tag and nothing else.
# Only names a vilan element head can spell are extracted: a namespaced entry
# (`xml:space`) has no head spelling, and an SVG `on…` row is an event handler,
# which the `*`/html-event-handler-index rows carry in their own spelling.
#
# fetched:   2026-09-17
# source:    https://html.spec.whatwg.org/multipage/indices.html
#            sha256 6153c9adfca5a155a57f3afa17f66d71d830d54df2525b4710dd800348c4bdef
# source:    https://www.w3.org/TR/SVG2/attindex.html
#            sha256 d008a1b62808268bfda853659e425554f6fbc9b2e3f415bc2b6aad437712bd50
#
# element	attribute	source
feImage	href	svg-attribute-index
feImage	id	svg-attribute-index
feImage	lang	svg-attribute-index
feImage	preserveAspectRatio	svg-attribute-index
feImage	result	svg-attribute-index
feImage	style	svg-attribute-index
feImage	tabindex	svg-attribute-index
feImage	width	svg-attribute-index
feImage	x	svg-attribute-index
feImage	y	svg-attribute-index
feMerge		svg-element-index
feMerge	class	svg-attribute-index
feMerge	height	svg-attribute-index
feMerge	id	svg-attribute-index
feMerge	lang	svg-attribute-index
feMerge	result	svg-attribute-index
feMerge	style	svg-attribute-index
feMerge	tabindex	svg-attribute-index
feMerge	width	svg-attribute-index
feMerge	x	svg-attribute-index
feMerge	y	svg-attribute-index
feMergeNode		svg-element-index
feMergeNode	class	svg-attribute-index
feMergeNode	id	svg-attribute-index
feMergeNode	in	svg-attribute-index
feMergeNode	lang	svg-attribute-index
feMergeNode	style	svg-attribute-index
feMergeNode	tabindex	svg-attribute-index
feMorphology		svg-element-index
feMorphology	class	svg-attribute-index
feMorphology	height	svg-attribute-index
feMorphology	id	svg-attribute-index
feMorphology	in	svg-attribute-index
feMorphology	lang	svg-attribute-index
feMorphology	operator	svg-attribute-index
feMorphology	radius	svg-attribute-index
feMorphology	result	svg-attribute-index
feMorphology	style	svg-attribute-index
feMorphology	tabindex	svg-attribute-index
feMorphology	width	svg-attribute-index
feMorphology	x	svg-attribute-index
feMorphology	y	svg-attribute-index
feOffset		svg-element-index
feOffset	class	svg-attribute-index
feOffset	dx	svg-attribute-index
feOffset	dy	svg-attribute-index
feOffset	height	svg-attribute-index
feOffset	id	svg-attribute-index
feOffset	in	svg-attribute-index
feOffset	lang	svg-attribute-index
feOffset	result	svg-attribute-index
feOffset	style	svg-attribute-index
feOffset	tabindex	svg-attribute-index
feOffset	width	svg-attribute-index
feOffset	x	svg-attribute-index
feOffset	y	svg-attribute-index
fePointLight		svg-element-index
fePointLight	class	svg-attribute-index
fePointLight	id	svg-attribute-index
fePointLight	lang	svg-attribute-index
fePointLight	style	svg-attribute-index
fePointLight	tabindex	svg-attribute-index
fePointLight	x	svg-attribute-index
fePointLight	y	svg-attribute-index
fePointLight	z	svg-attribute-index
feSpecularLighting		svg-element-index
feSpecularLighting	class	svg-attribute-index
feSpecularLighting	height	svg-attribute-index
feSpecularLighting	id	svg-attribute-index
feSpecularLighting	in	svg-attribute-index
feSpecularLighting	kernelUnitLength	svg-attribute-index
feSpecularLighting	lang	svg-attribute-index
feSpecularLighting	result	svg-attribute-index
feSpecularLighting	specularConstant	svg-attribute-index
feSpecularLighting	specularExponent	svg-attribute-index
feSpecularLighting	style	svg-attribute-index
feSpecularLighting	surfaceScale	svg-attribute-index
feSpecularLighting	tabindex	svg-attribute-index
feSpecularLighting	width	svg-attribute-index
feSpecularLighting	x	svg-attribute-index
feSpecularLighting	y	svg-attribute-index
feSpotLight		svg-element-index
feSpotLight	class	svg-attribute-index
feSpotLight	id	svg-attribute-index
feSpotLight	lang	svg-attribute-index
feSpotLight	limitingConeAngle	svg-attribute-index
feSpotLight	pointsAtX	svg-attribute-index
feSpotLight	pointsAtY	svg-attribute-index
feSpotLight	pointsAtZ	svg-attribute-index
feSpotLight	specularExponent	svg-attribute-index
feSpotLight	style	svg-attribute-index
feSpotLight	tabindex	svg-attribute-index
feSpotLight	x	svg-attribute-index
feSpotLight	y	svg-attribute-index
feSpotLight	z	svg-attribute-index
feTile		svg-element-index
feTile	class	svg-attribute-index
feTile	height	svg-attribute-index
feTile	id	svg-attribute-index
feTile	in	svg-attribute-index
feTile	lang	svg-attribute-index
feTile	result	svg-attribute-index
feTile	style	svg-attribute-index
feTile	tabindex	svg-attribute-index
feTile	width	svg-attribute-index
feTile	x	svg-attribute-index
feTile	y	svg-attribute-index
feTurbulence		svg-element-index
feTurbulence	baseFrequency	svg-attribute-index
feTurbulence	class	svg-attribute-index
feTurbulence	height	svg-attribute-index
feTurbulence	id	svg-attribute-index
feTurbulence	lang	svg-attribute-index
feTurbulence	numOctaves	svg-attribute-index
feTurbulence	result	svg-attribute-index
feTurbulence	seed	svg-attribute-index
feTurbulence	stitchTiles	svg-attribute-index
feTurbulence	style	svg-attribute-index
feTurbulence	tabindex	svg-attribute-index
feTurbulence	type	svg-attribute-index
feTurbulence	width	svg-attribute-index
feTurbulence	x	svg-attribute-index
feTurbulence	y	svg-attribute-index
fieldset	disabled	html-attribute-index
fieldset	form	html-attribute-index
fieldset	name	html-attribute-index
filter		svg-element-index
filter	class	svg-attribute-index
filter	filterUnits	svg-attribute-index
filter	height	svg-attribute-index
filter	id	svg-attribute-index
filter	lang	svg-attribute-index
filter	primitiveUnits	svg-attribute-index
filter	style	svg-attribute-index
filter	tabindex	svg-attribute-index
filter	width	svg-attribute-index
filter	x	svg-attribute-index
filter	y	svg-attribute-index
foreignObject		svg-element-index
foreignObject	aria-activedescendant	svg-attribute-index
foreignObject	aria-atomic	svg-attribute-index
foreignObject	aria-autocomplete	svg-attribute-index
foreignObject	aria-busy	svg-attribute-index
foreignObject	aria-checked	svg-attribute-index
foreignObject	aria-colcount	svg-attribute-index
foreignObject	aria-colindex	svg-attribute-index
foreignObject	aria-colspan	svg-attribute-index
foreignObject	aria-controls	svg-attribute-index
foreignObject	aria-current	svg-attribute-index
foreignObject	aria-describedby	svg-attribute-index
foreignObject	aria-details	svg-attribute-index
foreignObject	aria-disabled	svg-attribute-index
foreignObject	aria-dropeffect	svg-attribute-index
foreignObject	aria-errormessage	svg-attribute-index
foreignObject	aria-expanded	svg-attribute-index
foreignObject	aria-flowto	svg-attribute-index
foreignObject	aria-grabbed	svg-attribute-index
foreignObject	aria-haspopup	svg-attribute-index
foreignObject	aria-hidden	svg-attribute-index
foreignObject	aria-invalid	svg-attribute-index
foreignObject	aria-keyshortcuts	svg-attribute-index
foreignObject	aria-label	svg-attribute-index
foreignObject	aria-labelledby	svg-attribute-index
foreignObject	aria-level	svg-attribute-index
foreignObject	aria-live	svg-attribute-index
foreignObject	aria-modal	svg-attribute-index
foreignObject	aria-multiline	svg-attribute-index
foreignObject	aria-multiselectable	svg-attribute-index
foreignObject	aria-orientation	svg-attribute-index
foreignObject	aria-owns	svg-attribute-index
foreignObject	aria-placeholder	svg-attribute-index
foreignObject	aria-posinset	svg-attribute-index
foreignObject	aria-pressed	svg-attribute-index
foreignObject	aria-readonly	svg-attribute-index
foreignObject	aria-relevant	svg-attribute-index
foreignObject	aria-required	svg-attribute-index
foreignObject	aria-roledescription	svg-attribute-index
foreignObject	aria-rowcount	svg-attribute-index
foreignObject	aria-rowindex	svg-attribute-index
foreignObject	aria-rowspan	svg-attribute-index
foreignObject	aria-selected	svg-attribute-index
foreignObject	aria-setsize	svg-attribute-index
foreignObject	aria-sort	svg-attribute-index
foreignObject	aria-valuemax	svg-attribute-index
foreignObject	aria-valuemin	svg-attribute-index
foreignObject	aria-valuenow	svg-attribute-index
foreignObject	aria-valuetext	svg-attribute-index
foreignObject	class	svg-attribute-index
foreignObject	id	svg-attribute-index
foreignObject	lang	svg-attribute-index
foreignObject	requiredExtensions	svg-attribute-index
foreignObject	role	svg-attribute-index
foreignObject	style	svg-attribute-index
foreignObject	systemLanguage	svg-attribute-index
foreignObject	tabindex	svg-attribute-index
form	accept-charset	html-attribute-index
form	action	html-attribute-index
form	autocomplete	html-attribute-index
form	enctype	html-attribute-index
form	method	html-attribute-index
form	name	html-attribute-index
form	novalidate	html-attribute-index
form	target	html-attribute-index
g		svg-element-index
g	aria-activedescendant	svg-attribute-index
g	aria-atomic	svg-attribute-index
g	aria-autocomplete	svg-attribute-index
g	aria-busy	svg-attribute-index
g	aria-checked	svg-attribute-index
g	aria-colcount	svg-attribute-index
g	aria-colindex	svg-attribute-index
g	aria-colspan	svg-attribute-index
g	aria-controls	svg-attribute-index
g	aria-current	svg-attribute-index
g	aria-describedby	svg-attribute-index
g	aria-details	svg-attribute-index
g	aria-disabled	svg-attribute-index
g	aria-dropeffect	svg-attribute-index
g	aria-errormessage	svg-attribute-index
g	aria-expanded	svg-attribute-index
g	aria-flowto	svg-attribute-index
g	aria-grabbed	svg-attribute-index
g	aria-haspopup	svg-attribute-index
g	aria-hidden	svg-attribute-index
g	aria-invalid	svg-attribute-index
g	aria-keyshortcuts	svg-attribute-index
g	aria-label	svg-attribute-index
g	aria-labelledby	svg-attribute-index
g	aria-level	svg-attribute-index
g	aria-live	svg-attribute-index
g	aria-modal	svg-attribute-index
g	aria-multiline	svg-attribute-index
g	aria-multiselectable	svg-attribute-index
g	aria-orientation	svg-attribute-index
g	aria-owns	svg-attribute-index
g	aria-placeholder	svg-attribute-index
g	aria-posinset	svg-attribute-index
g	aria-pressed	svg-attribute-index
g	aria-readonly	svg-attribute-index
g	aria-relevant	svg-attribute-index
g	aria-required	svg-attribute-index
g	aria-roledescription	svg-attribute-index
g	aria-rowcount	svg-attribute-index
g	aria-rowindex	svg-attribute-index
g	aria-rowspan	svg-attribute-index
g	aria-selected	svg-attribute-index
g	aria-setsize	svg-attribute-index
g	aria-sort	svg-attribute-index
g	aria-valuemax	svg-attribute-index
g	aria-valuemin	svg-attribute-index
g	aria-valuenow	svg-attribute-index
g	aria-valuetext	svg-attribute-index
g	class	svg-attribute-index
g	id	svg-attribute-index
g	lang	svg-attribute-index
g	requiredExtensions	svg-attribute-index
g	role	svg-attribute-index
g	style	svg-attribute-index
g	systemLanguage	svg-attribute-index
g	tabindex	svg-attribute-index
iframe	allow	html-attribute-index
iframe	allowfullscreen	html-attribute-index
iframe	height	html-attribute-index
iframe	loading	html-attribute-index
iframe	name	html-attribute-index
iframe	referrerpolicy	html-attribute-index
iframe	sandbox	html-attribute-index
iframe	src	html-attribute-index
iframe	srcdoc	html-attribute-index
iframe	width	html-attribute-index
image		svg-element-index
image	aria-activedescendant	svg-attribute-index
image	aria-atomic	svg-attribute-index
image	aria-autocomplete	svg-attribute-index
image	aria-busy	svg-attribute-index
image	aria-checked	svg-attribute-index
image	aria-colcount	svg-attribute-index
image	aria-colindex	svg-attribute-index
image	aria-colspan	svg-attribute-index
image	aria-controls	svg-attribute-index
image	aria-current	svg-attribute-index
image	aria-describedby	svg-attribute-index
image	aria-details	svg-attribute-index
image	aria-disabled	svg-attribute-index
image	aria-dropeffect	svg-attribute-index
image	aria-errormessage	svg-attribute-index
image	aria-expanded	svg-attribute-index
image	aria-flowto	svg-attribute-index
image	aria-grabbed	svg-attribute-index
image	aria-haspopup	svg-attribute-index
image	aria-hidden	svg-attribute-index
image	aria-invalid	svg-attribute-index
image	aria-keyshortcuts	svg-attribute-index
image	aria-label	svg-attribute-index
image	aria-labelledby	svg-attribute-index
image	aria-level	svg-attribute-index
image	aria-live	svg-attribute-index
image	aria-modal	svg-attribute-index
image	aria-multiline	svg-attribute-index
image	aria-multiselectable	svg-attribute-index
image	aria-orientation	svg-attribute-index
image	aria-owns	svg-attribute-index
image	aria-placeholder	svg-attribute-index
image	aria-posinset	svg-attribute-index
image	aria-pressed	svg-attribute-index
image	aria-readonly	svg-attribute-index
image	aria-relevant	svg-attribute-index
image	aria-required	svg-attribute-index
image	aria-roledescription	svg-attribute-index
image	aria-rowcount	svg-attribute-index
image	aria-rowindex	svg-attribute-index
image	aria-rowspan	svg-attribute-index
image	aria-selected	svg-attribute-index
image	aria-setsize	svg-attribute-index
image	aria-sort	svg-attribute-index
image	aria-valuemax	svg-attribute-index
image	aria-valuemin	svg-attribute-index
image	aria-valuenow	svg-attribute-index
image	aria-valuetext	svg-attribute-index
image	class	svg-attribute-index
image	crossorigin	svg-attribute-index
image	href	svg-attribute-index
image	id	svg-attribute-index
image	lang	svg-attribute-index
image	preserveAspectRatio	svg-attribute-index
image	requiredExtensions	svg-attribute-index
image	role	svg-attribute-index
image	style	svg-attribute-index
image	systemLanguage	svg-attribute-index
image	tabindex	svg-attribute-index
img	alt	html-attribute-index
img	controls	html-attribute-index
img	crossorigin	html-attribute-index
img	decoding	html-attribute-index
img	fetchpriority	html-attribute-index
img	height	html-attribute-index
img	ismap	html-attribute-index
img	loading	html-attribute-index
img	referrerpolicy	html-attribute-index
img	sizes	html-attribute-index
img	src	html-attribute-index
img	srcset	html-attribute-index
img	usemap	html-attribute-index
img	width	html-attribute-index
input	accept	html-attribute-index
input	alpha	html-attribute-index
input	alt	html-attribute-index
input	autocomplete	html-attribute-index
input	checked	html-attribute-index
input	colorspace	html-attribute-index
input	dirname	html-attribute-index
input	disabled	html-attribute-index
input	form	html-attribute-index
input	formaction	html-attribute-index
input	formenctype	html-attribute-index
input	formmethod	html-attribute-index
input	formnovalidate	html-attribute-index
input	formtarget	html-attribute-index
input	height	html-attribute-index
input	list	html-attribute-index
input	max	html-attribute-index
input	maxlength	html-attribute-index
input	min	html-attribute-index
input	minlength	html-attribute-index
input	multiple	html-attribute-index
input	name	html-attribute-index
input	pattern	html-attribute-index
input	placeholder	html-attribute-index
input	popovertarget	html-attribute-index
input	popovertargetaction	html-attribute-index
input	readonly	html-attribute-index
input	required	html-attribute-index
input	size	html-attribute-index
input	src	html-attribute-index
input	step	html-attribute-index
input	title	html-attribute-index
input	type	html-attribute-index
input	value	html-attribute-index
input	width	html-attribute-index
ins	cite	html-attribute-index
ins	datetime	html-attribute-index
label	for	html-attribute-index
li	value	html-attribute-index
line		svg-element-index
line	aria-activedescendant	svg-attribute-index
line	aria-atomic	svg-attribute-index
line	aria-autocomplete	svg-attribute-index
line	aria-busy	svg-attribute-index
line	aria-checked	svg-attribute-index
line	aria-colcount	svg-attribute-index
line	aria-colindex	svg-attribute-index
line	aria-colspan	svg-attribute-index
line	aria-controls	svg-attribute-index
line	aria-current	svg-attribute-index
line	aria-describedby	svg-attribute-index
line	aria-details	svg-attribute-index
line	aria-disabled	svg-attribute-index
line	aria-dropeffect	svg-attribute-index
line	aria-errormessage	svg-attribute-index
line	aria-expanded	svg-attribute-index
line	aria-flowto	svg-attribute-index
line	aria-grabbed	svg-attribute-index
line	aria-haspopup	svg-attribute-index
line	aria-hidden	svg-attribute-index
line	aria-invalid	svg-attribute-index
line	aria-keyshortcuts	svg-attribute-index
line	aria-label	svg-attribute-index
line	aria-labelledby	svg-attribute-index
line	aria-level	svg-attribute-index
line	aria-live	svg-attribute-index
line	aria-modal	svg-attribute-index
line	aria-multiline	svg-attribute-index
line	aria-multiselectable	svg-attribute-index
line	aria-orientation	svg-attribute-index
line	aria-owns	svg-attribute-index
line	aria-placeholder	svg-attribute-index
line	aria-posinset	svg-attribute-index
line	aria-pressed	svg-attribute-index
line	aria-readonly	svg-attribute-index
line	aria-relevant	svg-attribute-index
line	aria-required	svg-attribute-index
line	aria-roledescription	svg-attribute-index
line	aria-rowcount	svg-attribute-index
line	aria-rowindex	svg-attribute-index
line	aria-rowspan	svg-attribute-index
line	aria-selected	svg-attribute-index
line	aria-setsize	svg-attribute-index
line	aria-sort	svg-attribute-index
line	aria-valuemax	svg-attribute-index
line	aria-valuemin	svg-attribute-index
line	aria-valuenow	svg-attribute-index
line	aria-valuetext	svg-attribute-index
line	class	svg-attribute-index
line	id	svg-attribute-index
line	lang	svg-attribute-index
line	pathLength	svg-attribute-index
line	requiredExtensions	svg-attribute-index
line	role	svg-attribute-index
line	style	svg-attribute-index
line	systemLanguage	svg-attribute-index
line	tabindex	svg-attribute-index
line	x1	svg-attribute-index
line	x2	svg-attribute-index
line	y1	svg-attribute-index
line	y2	svg-attribute-index
linearGradient		svg-element-index
linearGradient	class	svg-attribute-index
linearGradient	gradientTransform	svg-attribute-index
linearGradient	gradientUnits	svg-attribute-index
linearGradient	href	svg-attribute-index
linearGradient	id	svg-attribute-index
linearGradient	lang	svg-attribute-index
linearGradient	spreadMethod	svg-attribute-index
linearGradient	style	svg-attribute-index
linearGradient	tabindex	svg-attribute-index
linearGradient	x1	svg-attribute-index
linearGradient	x2	svg-attribute-index
linearGradient	y1	svg-attribute-index
linearGradient	y2	svg-attribute-index
link	as	html-attribute-index
link	blocking	html-attribute-index
link	color	html-attribute-index
link	crossorigin	html-attribute-index
link	disabled	html-attribute-index
link	fetchpriority	html-attribute-index
link	href	html-attribute-index
link	hreflang	html-attribute-index
link	imagesizes	html-attribute-index
link	imagesrcset	html-attribute-index
link	integrity	html-attribute-index
link	media	html-attribute-index
link	referrerpolicy	html-attribute-index
link	rel	html-attribute-index
link	sizes	html-attribute-index
link	title	html-attribute-index
link	type	html-attribute-index
map	name	html-attribute-index
marker		svg-element-index
marker	class	svg-attribute-index
marker	id	svg-attribute-index
marker	lang	svg-attribute-index
marker	markerHeight	svg-attribute-index
marker	markerUnits	svg-attribute-index
marker	markerWidth	svg-attribute-index
marker	orient	svg-attribute-index
marker	preserveAspectRatio	svg-attribute-index
marker	refX	svg-attribute-index
marker	refY	svg-attribute-index
marker	style	svg-attribute-index
marker	tabindex	svg-attribute-index
marker	viewBox	svg-attribute-index
mask		svg-element-index
mask	class	svg-attribute-index
mask	height	svg-attribute-index
mask	id	svg-attribute-index
mask	lang	svg-attribute-index
mask	maskContentUnits	svg-attribute-index
mask	maskUnits	svg-attribute-index
mask	requiredExtensions	svg-attribute-index
mask	style	svg-attribute-index
mask	systemLanguage	svg-attribute-index
mask	tabindex	svg-attribute-index
mask	width	svg-attribute-index
mask	x	svg-attribute-index
mask	y	svg-attribute-index
meta	charset	html-attribute-index
meta	content	html-attribute-index
meta	http-equiv	html-attribute-index
meta	media	html-attribute-index
meta	name	html-attribute-index
metadata		svg-element-index
metadata	class	svg-attribute-index
metadata	id	svg-attribute-index
metadata	lang	svg-attribute-index
metadata	style	svg-attribute-index
metadata	tabindex	svg-attribute-index
meter	high	html-attribute-index
meter	low	html-attribute-index
meter	max	html-attribute-index
meter	min	html-attribute-index
meter	optimum	html-attribute-index
meter	value	html-attribute-index
mpath		svg-element-index
mpath	class	svg-attribute-index
mpath	href	svg-attribute-index
mpath	id	svg-attribute-index
mpath	lang	svg-attribute-index
mpath	style	svg-attribute-index
mpath	tabindex	svg-attribute-index
object	data	html-attribute-index
object	form	html-attribute-index
object	height	html-attribute-index
object	name	html-attribute-index
object	type	html-attribute-index
object	width	html-attribute-index
ol	reversed	html-attribute-index
ol	start	html-attribute-index
ol	type	html-attribute-index
optgroup	disabled	html-attribute-index
optgroup	label	html-attribute-index
option	disabled	html-attribute-index
option	label	html-attribute-index
option	selected	html-attribute-index
option	value	html-attribute-index
output	for	html-attribute-index
output	form	html-attribute-index
output	name	html-attribute-index
path		svg-element-index
path	aria-activedescendant	svg-attribute-index
path	aria-atomic	svg-attribute-index
path	aria-autocomplete	svg-attribute-index
path	aria-busy	svg-attribute-index
path	aria-checked	svg-attribute-index
path	aria-colcount	svg-attribute-index
path	aria-colindex	svg-attribute-index
path	aria-colspan	svg-attribute-index
path	aria-controls	svg-attribute-index
path	aria-current	svg-attribute-index
path	aria-describedby	svg-attribute-index
path	aria-details	svg-attribute-index
path	aria-disabled	svg-attribute-index
path	aria-dropeffect	svg-attribute-index
path	aria-errormessage	svg-attribute-index
path	aria-expanded	svg-attribute-index
path	aria-flowto	svg-attribute-index
path	aria-grabbed	svg-attribute-index
path	aria-haspopup	svg-attribute-index
path	aria-hidden	svg-attribute-index
path	aria-invalid	svg-attribute-index
path	aria-keyshortcuts	svg-attribute-index
path	aria-label	svg-attribute-index
path	aria-labelledby	svg-attribute-index
path	aria-level	svg-attribute-index
path	aria-live	svg-attribute-index
path	aria-modal	svg-attribute-index
path	aria-multiline	svg-attribute-index
path	aria-multiselectable	svg-attribute-index
path	aria-orientation	svg-attribute-index
path	aria-owns	svg-attribute-index
path	aria-placeholder	svg-attribute-index
path	aria-posinset	svg-attribute-index
path	aria-pressed	svg-attribute-index
path	aria-readonly	svg-attribute-index
path	aria-relevant	svg-attribute-index
path	aria-required	svg-attribute-index
path	aria-roledescription	svg-attribute-index
path	aria-rowcount	svg-attribute-index
path	aria-rowindex	svg-attribute-index
path	aria-rowspan	svg-attribute-index
path	aria-selected	svg-attribute-index
path	aria-setsize	svg-attribute-index
path	aria-sort	svg-attribute-index
path	aria-valuemax	svg-attribute-index
path	aria-valuemin	svg-attribute-index
path	aria-valuenow	svg-attribute-index
path	aria-valuetext	svg-attribute-index
path	class	svg-attribute-index
path	id	svg-attribute-index
path	lang	svg-attribute-index
path	pathLength	svg-attribute-index
path	requiredExtensions	svg-attribute-index
path	role	svg-attribute-index
path	style	svg-attribute-index
path	systemLanguage	svg-attribute-index
path	tabindex	svg-attribute-index
pattern		svg-element-index
pattern	class	svg-attribute-index
pattern	height	svg-attribute-index
pattern	href	svg-attribute-index
pattern	id	svg-attribute-index
pattern	lang	svg-attribute-index
pattern	patternContentUnits	svg-attribute-index
pattern	patternTransform	svg-attribute-index
pattern	patternUnits	svg-attribute-index
pattern	preserveAspectRatio	svg-attribute-index
pattern	style	svg-attribute-index
pattern	tabindex	svg-attribute-index
pattern	viewBox	svg-attribute-index
pattern	width	svg-attribute-index
pattern	x	svg-attribute-index
pattern	y	svg-attribute-index
picture	height	html-attribute-index
picture	width	html-attribute-index
polygon		svg-element-index
polygon	aria-activedescendant	svg-attribute-index
polygon	aria-atomic	svg-attribute-index
polygon	aria-autocomplete	svg-attribute-index
polygon	aria-busy	svg-attribute-index
polygon	aria-checked	svg-attribute-index
polygon	aria-colcount	svg-attribute-index
polygon	aria-colindex	svg-attribute-index
polygon	aria-colspan	svg-attribute-index
polygon	aria-controls	svg-attribute-index
polygon	aria-current	svg-attribute-index
polygon	aria-describedby	svg-attribute-index
polygon	aria-details	svg-attribute-index
polygon	aria-disabled	svg-attribute-index
polygon	aria-dropeffect	svg-attribute-index
polygon	aria-errormessage	svg-attribute-index
polygon	aria-expanded	svg-attribute-index
polygon	aria-flowto	svg-attribute-index
polygon	aria-grabbed	svg-attribute-index
polygon	aria-haspopup	svg-attribute-index
polygon	aria-hidden	svg-attribute-index
polygon	aria-invalid	svg-attribute-index
polygon	aria-keyshortcuts	svg-attribute-index
polygon	aria-label	svg-attribute-index
polygon	aria-labelledby	svg-attribute-index
polygon	aria-level	svg-attribute-index
polygon	aria-live	svg-attribute-index
polygon	aria-modal	svg-attribute-index
polygon	aria-multiline	svg-attribute-index
polygon	aria-multiselectable	svg-attribute-index
polygon	aria-orientation	svg-attribute-index
polygon	aria-owns	svg-attribute-index
polygon	aria-placeholder	svg-attribute-index
polygon	aria-posinset	svg-attribute-index
polygon	aria-pressed	svg-attribute-index
polygon	aria-readonly	svg-attribute-index
polygon	aria-relevant	svg-attribute-index
polygon	aria-required	svg-attribute-index
polygon	aria-roledescription	svg-attribute-index
polygon	aria-rowcount	svg-attribute-index
polygon	aria-rowindex	svg-attribute-index
polygon	aria-rowspan	svg-attribute-index
polygon	aria-selected	svg-attribute-index
polygon	aria-setsize	svg-attribute-index
polygon	aria-sort	svg-attribute-index
polygon	aria-valuemax	svg-attribute-index
polygon	aria-valuemin	svg-attribute-index
polygon	aria-valuenow	svg-attribute-index
polygon	aria-valuetext	svg-attribute-index
polygon	class	svg-attribute-index
polygon	id	svg-attribute-index
polygon	lang	svg-attribute-index
polygon	pathLength	svg-attribute-index
polygon	points	svg-attribute-index
polygon	requiredExtensions	svg-attribute-index
polygon	role	svg-attribute-index
polygon	style	svg-attribute-index
polygon	systemLanguage	svg-attribute-index
polygon	tabindex	svg-attribute-index
polyline		svg-element-index
polyline	aria-activedescendant	svg-attribute-index
polyline	aria-atomic	svg-attribute-index
polyline	aria-autocomplete	svg-attribute-index
polyline	aria-busy	svg-attribute-index
polyline	aria-checked	svg-attribute-index
polyline	aria-colcount	svg-attribute-index
polyline	aria-colindex	svg-attribute-index
polyline	aria-colspan	svg-attribute-index
polyline	aria-controls	svg-attribute-index
polyline	aria-current	svg-attribute-index
polyline	aria-describedby	svg-attribute-index
polyline	aria-details	svg-attribute-index
polyline	aria-disabled	svg-attribute-index
polyline	aria-dropeffect	svg-attribute-index
polyline	aria-errormessage	svg-attribute-index
polyline	aria-expanded	svg-attribute-index
polyline	aria-flowto	svg-attribute-index
polyline	aria-grabbed	svg-attribute-index
polyline	aria-haspopup	svg-attribute-index
polyline	aria-hidden	svg-attribute-index
polyline	aria-invalid	svg-attribute-index
polyline	aria-keyshortcuts	svg-attribute-index
polyline	aria-label	svg-attribute-index
polyline	aria-labelledby	svg-attribute-index
polyline	aria-level	svg-attribute-index
polyline	aria-live	svg-attribute-index
polyline	aria-modal	svg-attribute-index
polyline	aria-multiline	svg-attribute-index
polyline	aria-multiselectable	svg-attribute-index
polyline	aria-orientation	svg-attribute-index
polyline	aria-owns	svg-attribute-index
polyline	aria-placeholder	svg-attribute-index
polyline	aria-posinset	svg-attribute-index
polyline	aria-pressed	svg-attribute-index
polyline	aria-readonly	svg-attribute-index
polyline	aria-relevant	svg-attribute-index
polyline	aria-required	svg-attribute-index
polyline	aria-roledescription	svg-attribute-index
polyline	aria-rowcount	svg-attribute-index
polyline	aria-rowindex	svg-attribute-index
polyline	aria-rowspan	svg-attribute-index
polyline	aria-selected	svg-attribute-index
polyline	aria-setsize	svg-attribute-index
polyline	aria-sort	svg-attribute-index
polyline	aria-valuemax	svg-attribute-index
polyline	aria-valuemin	svg-attribute-index
polyline	aria-valuenow	svg-attribute-index
polyline	aria-valuetext	svg-attribute-index
polyline	class	svg-attribute-index
polyline	id	svg-attribute-index
polyline	lang	svg-attribute-index
polyline	pathLength	svg-attribute-index
polyline	points	svg-attribute-index
polyline	requiredExtensions	svg-attribute-index
polyline	role	svg-attribute-index
polyline	style	svg-attribute-index
polyline	systemLanguage	svg-attribute-index
polyline	tabindex	svg-attribute-index
progress	max	html-attribute-index
progress	value	html-attribute-index
q	cite	html-attribute-index
radialGradient		svg-element-index
radialGradient	class	svg-attribute-index
radialGradient	cx	svg-attribute-index
radialGradient	cy	svg-attribute-index
radialGradient	fr	svg-attribute-index
radialGradient	fx	svg-attribute-index
radialGradient	fy	svg-attribute-index
radialGradient	gradientTransform	svg-attribute-index
radialGradient	gradientUnits	svg-attribute-index
radialGradient	href	svg-attribute-index
radialGradient	id	svg-attribute-index
radialGradient	lang	svg-attribute-index
radialGradient	r	svg-attribute-index
radialGradient	spreadMethod	svg-attribute-index
radialGradient	style	svg-attribute-index
radialGradient	tabindex	svg-attribute-index
rect		svg-element-index
rect	aria-activedescendant	svg-attribute-index
rect	aria-atomic	svg-attribute-index
rect	aria-autocomplete	svg-attribute-index
rect	aria-busy	svg-attribute-index
rect	aria-checked	svg-attribute-index
rect	aria-colcount	svg-attribute-index
rect	aria-colindex	svg-attribute-index
rect	aria-colspan	svg-attribute-index
rect	aria-controls	svg-attribute-index
rect	aria-current	svg-attribute-index
rect	aria-describedby	svg-attribute-index
rect	aria-details	svg-attribute-index
