# The element -> attribute-name dataset vilan-ide's element-head completion
# is generated from (tracker E69). GENERATED FILE -- do not hand-edit.
#
# refresh:   python3 scripts/regen-html-attributes.py --fetch   (network)
# consumer:  crates/vilan-ide/src/html_attributes_sync.rs   (TSV -> Rust)
#            the ONE implementation of that arrow (N107). It renders
#            html_attributes.rs from these rows and diffs it byte for byte on
#            every `cargo test`, offline; VILAN_REGENERATE_HTML_ATTRIBUTES=1
#            rewrites the table instead of failing.
#
# `element` is a tag name, `*` (every element) or `svg:*` (every SVG-shaped
# element). A row with an EMPTY attribute registers the tag and nothing else.
# Only names a vilan element head can spell are extracted: a namespaced entry
# (`xml:space`) has no head spelling, and an SVG `on…` row is an event handler,
# which the `*`/html-event-handler-index rows carry in their own spelling.
#
# fetched:   2026-09-17
# source:    https://html.spec.whatwg.org/multipage/indices.html
#            sha256 6153c9adfca5a155a57f3afa17f66d71d830d54df2525b4710dd800348c4bdef
# source:    https://www.w3.org/TR/SVG2/attindex.html
#            sha256 d008a1b62808268bfda853659e425554f6fbc9b2e3f415bc2b6aad437712bd50
#
# element	attribute	source
animateMotion	restart	svg-attribute-index
animateMotion	rotate	svg-attribute-index
animateMotion	style	svg-attribute-index
animateMotion	systemLanguage	svg-attribute-index
animateMotion	tabindex	svg-attribute-index
animateMotion	to	svg-attribute-index
animateMotion	values	svg-attribute-index
animateTransform		svg-element-index
animateTransform	accumulate	svg-attribute-index
animateTransform	additive	svg-attribute-index
animateTransform	attributeName	svg-attribute-index
animateTransform	begin	svg-attribute-index
animateTransform	by	svg-attribute-index
animateTransform	calcMode	svg-attribute-index
animateTransform	class	svg-attribute-index
animateTransform	dur	svg-attribute-index
animateTransform	end	svg-attribute-index
animateTransform	fill	svg-attribute-index
animateTransform	from	svg-attribute-index
animateTransform	href	svg-attribute-index
animateTransform	id	svg-attribute-index
animateTransform	keySplines	svg-attribute-index
animateTransform	keyTimes	svg-attribute-index
animateTransform	lang	svg-attribute-index
animateTransform	max	svg-attribute-index
animateTransform	min	svg-attribute-index
animateTransform	repeatCount	svg-attribute-index
animateTransform	repeatDur	svg-attribute-index
animateTransform	requiredExtensions	svg-attribute-index
animateTransform	restart	svg-attribute-index
animateTransform	style	svg-attribute-index
animateTransform	systemLanguage	svg-attribute-index
animateTransform	tabindex	svg-attribute-index
animateTransform	to	svg-attribute-index
animateTransform	type	svg-attribute-index
animateTransform	values	svg-attribute-index
area	alt	html-attribute-index
area	coords	html-attribute-index
area	download	html-attribute-index
area	href	html-attribute-index
area	ping	html-attribute-index
area	referrerpolicy	html-attribute-index
area	rel	html-attribute-index
area	shape	html-attribute-index
area	target	html-attribute-index
audio	autoplay	html-attribute-index
audio	controls	html-attribute-index
audio	crossorigin	html-attribute-index
audio	loading	html-attribute-index
audio	loop	html-attribute-index
audio	muted	html-attribute-index
audio	preload	html-attribute-index
audio	src	html-attribute-index
base	href	html-attribute-index
base	target	html-attribute-index
bdo	dir	html-attribute-index
blockquote	cite	html-attribute-index
button	command	html-attribute-index
button	commandfor	html-attribute-index
button	disabled	html-attribute-index
button	form	html-attribute-index
button	formaction	html-attribute-index
button	formenctype	html-attribute-index
button	formmethod	html-attribute-index
button	formnovalidate	html-attribute-index
button	formtarget	html-attribute-index
button	name	html-attribute-index
button	popovertarget	html-attribute-index
button	popovertargetaction	html-attribute-index
button	type	html-attribute-index
button	value	html-attribute-index
canvas	height	html-attribute-index
canvas	width	html-attribute-index
circle		svg-element-index
circle	aria-activedescendant	svg-attribute-index
circle	aria-atomic	svg-attribute-index
circle	aria-autocomplete	svg-attribute-index
circle	aria-busy	svg-attribute-index
circle	aria-checked	svg-attribute-index
circle	aria-colcount	svg-attribute-index
circle	aria-colindex	svg-attribute-index
circle	aria-colspan	svg-attribute-index
circle	aria-controls	svg-attribute-index
circle	aria-current	svg-attribute-index
circle	aria-describedby	svg-attribute-index
circle	aria-details	svg-attribute-index
circle	aria-disabled	svg-attribute-index
circle	aria-dropeffect	svg-attribute-index
circle	aria-errormessage	svg-attribute-index
circle	aria-expanded	svg-attribute-index
circle	aria-flowto	svg-attribute-index
circle	aria-grabbed	svg-attribute-index
circle	aria-haspopup	svg-attribute-index
circle	aria-hidden	svg-attribute-index
circle	aria-invalid	svg-attribute-index
circle	aria-keyshortcuts	svg-attribute-index
circle	aria-label	svg-attribute-index
circle	aria-labelledby	svg-attribute-index
circle	aria-level	svg-attribute-index
circle	aria-live	svg-attribute-index
circle	aria-modal	svg-attribute-index
circle	aria-multiline	svg-attribute-index
circle	aria-multiselectable	svg-attribute-index
circle	aria-orientation	svg-attribute-index
circle	aria-owns	svg-attribute-index
circle	aria-placeholder	svg-attribute-index
circle	aria-posinset	svg-attribute-index
circle	aria-pressed	svg-attribute-index
circle	aria-readonly	svg-attribute-index
circle	aria-relevant	svg-attribute-index
circle	aria-required	svg-attribute-index
circle	aria-roledescription	svg-attribute-index
circle	aria-rowcount	svg-attribute-index
circle	aria-rowindex	svg-attribute-index
circle	aria-rowspan	svg-attribute-index
circle	aria-selected	svg-attribute-index
circle	aria-setsize	svg-attribute-index
circle	aria-sort	svg-attribute-index
circle	aria-valuemax	svg-attribute-index
circle	aria-valuemin	svg-attribute-index
circle	aria-valuenow	svg-attribute-index
circle	aria-valuetext	svg-attribute-index
circle	class	svg-attribute-index
circle	id	svg-attribute-index
circle	lang	svg-attribute-index
circle	pathLength	svg-attribute-index
circle	requiredExtensions	svg-attribute-index
circle	role	svg-attribute-index
circle	style	svg-attribute-index
circle	systemLanguage	svg-attribute-index
circle	tabindex	svg-attribute-index
clipPath		svg-element-index
clipPath	class	svg-attribute-index
clipPath	clipPathUnits	svg-attribute-index
clipPath	id	svg-attribute-index
clipPath	lang	svg-attribute-index
clipPath	requiredExtensions	svg-attribute-index
clipPath	style	svg-attribute-index
clipPath	systemLanguage	svg-attribute-index
clipPath	tabindex	svg-attribute-index
col	span	html-attribute-index
colgroup	span	html-attribute-index
data	value	html-attribute-index
defs		svg-element-index
defs	class	svg-attribute-index
defs	id	svg-attribute-index
defs	lang	svg-attribute-index
defs	style	svg-attribute-index
defs	tabindex	svg-attribute-index
del	cite	html-attribute-index
del	datetime	html-attribute-index
desc		svg-element-index
desc	class	svg-attribute-index
desc	id	svg-attribute-index
desc	lang	svg-attribute-index
desc	style	svg-attribute-index
desc	tabindex	svg-attribute-index
details	name	html-attribute-index
details	open	html-attribute-index
dfn	title	html-attribute-index
dialog	closedby	html-attribute-index
dialog	open	html-attribute-index
discard		svg-element-index
discard	aria-activedescendant	svg-attribute-index
discard	aria-atomic	svg-attribute-index
discard	aria-autocomplete	svg-attribute-index
discard	aria-busy	svg-attribute-index
discard	aria-checked	svg-attribute-index
discard	aria-colcount	svg-attribute-index
discard	aria-colindex	svg-attribute-index
discard	aria-colspan	svg-attribute-index
discard	aria-controls	svg-attribute-index
discard	aria-current	svg-attribute-index
discard	aria-describedby	svg-attribute-index
discard	aria-details	svg-attribute-index
discard	aria-disabled	svg-attribute-index
discard	aria-dropeffect	svg-attribute-index
discard	aria-errormessage	svg-attribute-index
discard	aria-expanded	svg-attribute-index
discard	aria-flowto	svg-attribute-index
discard	aria-grabbed	svg-attribute-index
discard	aria-haspopup	svg-attribute-index
discard	aria-hidden	svg-attribute-index
discard	aria-invalid	svg-attribute-index
discard	aria-keyshortcuts	svg-attribute-index
discard	aria-label	svg-attribute-index
discard	aria-labelledby	svg-attribute-index
discard	aria-level	svg-attribute-index
discard	aria-live	svg-attribute-index
discard	aria-modal	svg-attribute-index
discard	aria-multiline	svg-attribute-index
discard	aria-multiselectable	svg-attribute-index
discard	aria-orientation	svg-attribute-index
discard	aria-owns	svg-attribute-index
discard	aria-placeholder	svg-attribute-index
discard	aria-posinset	svg-attribute-index
discard	aria-pressed	svg-attribute-index
discard	aria-readonly	svg-attribute-index
discard	aria-relevant	svg-attribute-index
discard	aria-required	svg-attribute-index
discard	aria-roledescription	svg-attribute-index
discard	aria-rowcount	svg-attribute-index
discard	aria-rowindex	svg-attribute-index
discard	aria-rowspan	svg-attribute-index
discard	aria-selected	svg-attribute-index
discard	aria-setsize	svg-attribute-index
discard	aria-sort	svg-attribute-index
discard	aria-valuemax	svg-attribute-index
discard	aria-valuemin	svg-attribute-index
discard	aria-valuenow	svg-attribute-index
discard	aria-valuetext	svg-attribute-index
discard	begin	svg-attribute-index
discard	class	svg-attribute-index
discard	href	svg-attribute-index
discard	id	svg-attribute-index
discard	lang	svg-attribute-index
discard	requiredExtensions	svg-attribute-index
discard	role	svg-attribute-index
discard	style	svg-attribute-index
discard	systemLanguage	svg-attribute-index
discard	tabindex	svg-attribute-index
ellipse		svg-element-index
ellipse	aria-activedescendant	svg-attribute-index
ellipse	aria-atomic	svg-attribute-index
ellipse	aria-autocomplete	svg-attribute-index
ellipse	aria-busy	svg-attribute-index
ellipse	aria-checked	svg-attribute-index
ellipse	aria-colcount	svg-attribute-index
ellipse	aria-colindex	svg-attribute-index
